Geneid	U1	U2	U3	M1	M2	M3	C1	C2	C3	G1	G2	G3
CDS:AF52_RS01000:-:IS5/IS1182_family_transposase:cds-AF52_RS01000:+:256:NZ_KK737551.1	40	31	34	49	24	56	9	23	11	58	82	67
CDS:AF52_RS00995:epmB:EF-P_beta-lysylation_protein_EpmB:cds-WP_002885500.1:-:1028:NZ_KK737551.1	1103	505	778	638	354	966	118	168	215	470	455	726
CDS:AF52_RS00990:efp:elongation_factor_P:cds-WP_002885506.1:+:566:NZ_KK737551.1	3374	2248	3098	3166	1661	3100	1468	2624	2023	3861	3632	5502
CDS:AF52_RS0124725:-:entericidin_A/B_family_lipoprotein:cds-WP_002885511.1:+:131:NZ_KK737551.1	959	391	773	725	331	649	214	349	390	854	712	1171
CDS:AF52_RS0124730:ecnB:lipoprotein_toxin_entericidin_B:cds-WP_002885518.1:+:146:NZ_KK737551.1	643	202	413	684	302	677	108	178	138	566	436	632
CDS:AF52_RS00985:sugE:quaternary_ammonium_compound_efflux_SMR_transporter_SugE:cds-WP_002885521.1:+:317:NZ_KK737551.1	873	459	728	606	308	722	97	167	98	1175	923	1420
CDS:AF52_RS00980:-:lipocalin_family_protein:cds-WP_002885523.1:-:533:NZ_KK737551.1	25	14	14	12	7	19	3	17	0	26	15	27
CDS:AF52_RS00975:frdD:fumarate_reductase_subunit_FrdD:cds-WP_002885526.1:-:359:NZ_KK737551.1	23	37	59	40	11	41	10	12	4	64	105	61
CDS:AF52_RS00970:frdC:fumarate_reductase_subunit_FrdC:cds-WP_002885530.1:-:395:NZ_KK737551.1	32	7	9	2	5	3	0	18	10	21	27	26
CDS:AF52_RS00965:frdB:fumarate_reductase_iron-sulfur_protein:cds-WP_004177729.1:-:734:NZ_KK737551.1	46	26	33	38	18	21	18	39	29	34	34	41
CDS:AF52_RS00960:frdA:fumarate_reductase_quinol_flavoprotein_subunit:cds-WP_004177727.1:-:1790:NZ_KK737551.1	49	66	61	25	7	67	0	3	5	163	106	207
CDS:AF52_RS00955:epmA:elongation_factor_P--R-beta-lysine_ligase:cds-WP_004146714.1:+:977:NZ_KK737551.1	921	527	962	694	375	730	216	283	234	936	805	1198
CDS:AF52_RS00950:yjeM:glutamate/gamma-aminobutyrate_family_transporter_YjeM:cds-WP_021441059.1:+:1502:NZ_KK737551.1	278	115	149	228	63	181	33	57	5	100	95	125
CDS:AF52_RS00945:mscM:miniconductance_mechanosensitive_channel_MscM:cds-WP_004146716.1:-:3329:NZ_KK737551.1	2229	1271	1988	2697	1350	2587	1382	1289	1509	657	567	1029
CDS:AF52_RS00940:psd:phosphatidylserine_decarboxylase:cds-WP_002885536.1:-:962:NZ_KK737551.1	1054	527	976	1175	880	1293	860	793	875	1916	1243	2320
CDS:AF52_RS00935:rsgA:small_ribosomal_subunit_biogenesis_GTPase_RsgA:cds-WP_002885537.1:-:1061:NZ_KK737551.1	1303	561	1030	1245	523	1324	811	870	840	1975	1683	2789
CDS:AF52_RS00930:orn:oligoribonuclease:cds-WP_002885538.1:+:545:NZ_KK737551.1	602	269	593	549	207	643	499	1007	701	834	777	1227
CDS:AF52_RS00925:-:transporter_substrate-binding_domain-containing_protein:cds-WP_032430397.1:-:731:NZ_KK737551.1	284	116	313	289	109	258	139	381	370	703	687	1083
CDS:AF52_RS00905:queG:tRNA_epoxyqueuosine34_reductase_QueG:cds-WP_004210690.1:-:1139:NZ_KK737551.1	1005	500	897	697	353	791	941	1086	1054	1180	1053	1861
CDS:AF52_RS00900:nnr:bifunctional_ADP-dependent_NADPH-hydrate_dehydratase/NADPH-hydrate_epimerase:cds-WP_187079197.1:+:1511:NZ_KK737551.1	367	287	289	469	304	383	327	381	373	615	573	862
CDS:AF52_RS00895:tsaE:tRNA_adenosine37-N6-threonylcarbamoyltransferase_complex_ATPase_subunit_type_1_TsaE:cds-WP_004220675.1:+:449:NZ_KK737551.1	128	64	102	168	104	134	110	86	217	141	204	264
CDS:AF52_RS00890:amiB:N-acetylmuramoyl-L-alanine_amidase_AmiB:cds-WP_004152021.1:+:1355:NZ_KK737551.1	674	443	590	587	311	698	542	757	701	573	496	728
CDS:AF52_RS00885:mutL:DNA_mismatch_repair_endonuclease_MutL:cds-WP_004152020.1:+:1859:NZ_KK737551.1	2672	1469	2246	2528	1344	2873	1644	1775	1526	2658	2584	3888
CDS:AF52_RS00880:miaA:tRNA_adenosine37-N6-dimethylallyltransferase_MiaA:cds-WP_032430401.1:+:950:NZ_KK737551.1	7907	4797	6308	6841	3880	6921	3650	4816	4254	13372	13066	17362
CDS:AF52_RS00875:hfq:RNA_chaperone_Hfq:cds-WP_002885659.1:+:308:NZ_KK737551.1	2626	1856	2580	2712	1670	2921	1848	2939	2253	9217	8231	12070
CDS:AF52_RS00870:hflX:GTPase_HflX:cds-WP_004146725.1:+:1280:NZ_KK737551.1	6255	3531	5348	5921	3326	6859	3229	4053	3511	12871	11741	17478
CDS:AF52_RS00865:hflK:FtsH_protease_activity_modulator_HflK:cds-WP_004146726.1:+:1262:NZ_KK737551.1	4390	2400	3928	3911	2080	4367	2524	2395	2202	4158	4483	6119
CDS:AF52_RS00860:hflC:protease_modulator_HflC:cds-WP_002885662.1:+:1004:NZ_KK737551.1	6744	4712	7177	6995	3943	9180	3174	4520	4093	2906	2886	3593
CDS:AF52_RS00855:-:hypothetical_protein:cds-WP_002885663.1:-:290:NZ_KK737551.1	280	116	173	217	108	186	37	127	32	145	109	229
CDS:AF52_RS00850:-:DUF2065_domain-containing_protein:cds-WP_002885664.1:+:197:NZ_KK737551.1	173	83	195	182	82	173	43	37	94	289	250	340
CDS:AF52_RS00845:-:adenylosuccinate_synthase:cds-WP_002885665.1:+:1298:NZ_KK737551.1	6855	3405	5870	5905	3468	6583	1662	3398	2848	7195	5786	9489
CDS:AF52_RS00840:nsrR:nitric_oxide-sensing_transcriptional_repressor_NsrR:cds-WP_002885667.1:+:425:NZ_KK737551.1	696	480	658	559	449	728	40	150	88	955	749	1088
CDS:AF52_RS00835:rnr:ribonuclease_R:cds-WP_004192475.1:+:2432:NZ_KK737551.1	2862	1401	2486	2401	1163	2741	350	488	554	3422	2938	5638
CDS:AF52_RS00830:rlmB:23S_rRNA_guanosine2251-2-O-methyltransferase_RlmB:cds-WP_002885669.1:+:731:NZ_KK737551.1	1031	480	957	962	340	1109	97	104	135	441	358	643
CDS:AF52_RS00825:-:isovaleryl-CoA_dehydrogenase:cds-WP_021441063.1:+:1637:NZ_KK737551.1	49	41	39	64	16	84	16	3	11	116	59	95
CDS:AF52_RS00820:-:DUF1471_domain-containing_protein:cds-WP_002885673.1:-:275:NZ_KK737551.1	504	217	581	724	453	821	189	205	224	1673	1503	2354
CDS:AF52_RS00815:bsmA:biofilm_peroxide_resistance_protein_BsmA:cds-WP_002885674.1:-:308:NZ_KK737551.1	202	145	177	200	114	214	12	1	24	545	470	978
CDS:AF52_RS00810:yjfP:esterase:cds-WP_032428483.1:+:716:NZ_KK737551.1	227	130	151	147	123	276	10	38	23	380	303	591
CDS:AF52_RS00805:ulaR:HTH-type_transcriptional_regulator_UlaR:cds-WP_004177697.1:-:755:NZ_KK737551.1	194	156	199	150	161	267	33	3	45	911	574	1034
CDS:AF52_RS00800:ulaG:L-ascorbate_6-phosphate_lactonase:cds-WP_032430402.1:-:1064:NZ_KK737551.1	28	8	17	27	0	36	38	40	22	132	106	104
CDS:AF52_RS00795:ulaA:PTS_ascorbate_transporter_subunit_IIC:cds-WP_016946098.1:+:1400:NZ_KK737551.1	0	17	4	41	0	14	0	0	0	101	72	146
CDS:AF52_RS00790:ulaB:PTS_ascorbate_transporter_subunit_IIB:cds-WP_002885682.1:+:305:NZ_KK737551.1	2	7	2	0	0	0	0	1	0	10	29	12
CDS:AF52_RS00785:ulaC:PTS_ascorbate_transporter_subunit_IIA:cds-WP_002885683.1:+:467:NZ_KK737551.1	1	9	15	10	2	9	0	14	0	30	10	10
CDS:AF52_RS00780:ulaD:3-keto-L-gulonate-6-phosphate_decarboxylase_UlaD:cds-WP_002885684.1:+:650:NZ_KK737551.1	6	32	28	24	5	35	0	1	4	23	27	15
CDS:AF52_RS00775:-:L-ribulose-5-phosphate_3-epimerase:cds-WP_004210671.1:+:854:NZ_KK737551.1	28	2	3	15	13	17	0	7	2	39	14	2
CDS:AF52_RS00770:-:L-ribulose-5-phosphate_4-epimerase:cds-WP_004178347.1:+:686:NZ_KK737551.1	48	4	40	51	8	42	0	8	0	70	58	71
CDS:AF52_RS00765:-:MFS_transporter:cds-WP_009309325.1:-:1193:NZ_KK737551.1	101	29	55	129	47	126	0	7	16	63	61	95
CDS:AF52_RS00760:-:DUF1471_domain-containing_protein:cds-WP_002885689.1:-:275:NZ_KK737551.1	38	1	40	4	21	17	25	23	0	17	31	52
CDS:AF52_RS00755:rpsF:30S_ribosomal_protein_S6:cds-WP_002885691.1:+:395:NZ_KK737551.1	6854	4363	6757	6441	2670	6087	1696	2011	1775	11248	10602	17860
CDS:AF52_RS00750:priB:primosomal_replication_protein_N:cds-WP_002885722.1:+:314:NZ_KK737551.1	6311	4359	5716	5080	2496	5149	1587	2152	1840	8319	8298	11156
CDS:AF52_RS00745:rpsR:30S_ribosomal_protein_S18:cds-WP_000135199.1:+:227:NZ_KK737551.1	4288	2673	3794	3496	1538	3478	1037	1476	1357	6615	5529	8385
CDS:AF52_RS00740:rplI:50S_ribosomal_protein_L9:cds-WP_002886682.1:+:449:NZ_KK737551.1	20098	12819	18740	15256	8533	19449	5416	11512	8130	23911	19616	30973
CDS:AF52_RS00735:-:hypothetical_protein:cds-WP_004177687.1:-:674:NZ_KK737551.1	691	364	424	474	229	621	99	102	66	1296	1184	1650
CDS:AF52_RS00730:fklB:FKBP-type_peptidyl-prolyl_cis-trans_isomerase:cds-WP_002886687.1:+:620:NZ_KK737551.1	3472	2097	2771	3196	2085	3987	339	541	549	2753	2012	3364
CDS:AF52_RS00725:cycA:D-serine/D-alanine/glycine_transporter:cds-WP_002886688.1:+:1403:NZ_KK737551.1	1636	1024	1745	1359	847	1728	65	101	121	3739	3676	5154
CDS:AF52_RS00720:ytfE:iron-sulfur_cluster_repair_protein_YtfE:cds-WP_004210666.1:-:662:NZ_KK737551.1	19	11	34	24	4	90	13	14	3	35	68	110
CDS:AF52_RS00715:-:DMT_family_transporter:cds-WP_002886691.1:-:971:NZ_KK737551.1	56	49	66	117	47	135	4	6	43	60	71	130
CDS:AF52_RS00710:-:AraC_family_transcriptional_regulator:cds-WP_032430405.1:-:824:NZ_KK737551.1	95	39	67	132	65	139	17	7	4	118	171	234
CDS:AF52_RS00705:-:SDR_family_oxidoreductase:cds-WP_021441067.1:-:848:NZ_KK737551.1	67	73	91	125	59	129	7	0	16	255	214	320
CDS:AF52_RS00700:-:winged_helix-turn-helix_transcriptional_regulator:cds-WP_004152015.1:+:371:NZ_KK737551.1	44	34	76	30	30	45	13	24	17	88	82	111
CDS:AF52_RS00695:cpdB:2%2C3-cyclic-nucleotide_2-phosphodiesterase:cds-WP_021441068.1:-:1943:NZ_KK737551.1	206	115	140	157	85	123	16	25	22	645	621	784
CDS:AF52_RS00690:cysQ:32%2C5-bisphosphate_nucleotidase_CysQ:cds-WP_032430406.1:+:743:NZ_KK737551.1	628	250	454	752	398	786	295	208	231	1150	1112	1615
CDS:AF52_RS00685:-:YtfJ_family_protein:cds-WP_002886706.1:-:557:NZ_KK737551.1	86	70	51	63	17	65	1	4	4	291	193	416
CDS:AF52_RS00680:-:DUF1107_domain-containing_protein:cds-WP_002886707.1:+:206:NZ_KK737551.1	1578	889	1407	1684	1102	1724	351	546	361	5054	4458	5751
CDS:AF52_RS00675:araC:arabinose_operon_transcriptional_regulator_AraC:cds-WP_004178353.1:-:872:NZ_KK737551.1	133	67	115	185	74	167	4	52	24	214	163	216
CDS:AF52_RS00670:-:beta-galactosidase:cds-WP_004222103.1:-:2009:NZ_KK737551.1	36	19	13	31	18	42	13	22	12	87	92	136
CDS:AF52_RS00665:-:oligosaccharide_MFS_transporter:cds-WP_016946104.1:-:1232:NZ_KK737551.1	24	29	4	26	19	55	8	13	0	59	74	134
CDS:AF52_RS00660:-:HlyC/CorC_family_transporter:cds-WP_002886718.1:-:1337:NZ_KK737551.1	2000	841	1636	1559	818	1929	515	743	740	1861	2093	2829
CDS:AF52_RS00655:msrA:peptide-methionine_S-S-oxide_reductase_MsrA:cds-WP_002886721.1:-:638:NZ_KK737551.1	371	277	350	760	317	903	167	171	253	4022	3345	5272
CDS:AF52_RS00650:tamA:autotransporter_assembly_complex_protein_TamA:cds-WP_002886722.1:+:1733:NZ_KK737551.1	778	446	723	708	418	769	225	204	309	866	893	1055
CDS:AF52_RS00645:tamB:autotransporter_assembly_complex_protein_TamB:cds-WP_032430407.1:+:3776:NZ_KK737551.1	2573	1321	2032	2071	1235	2277	294	477	401	626	491	905
CDS:AF52_RS00640:-:gamma-glutamylcyclotransferase:cds-WP_002886724.1:+:344:NZ_KK737551.1	3938	1922	3601	3417	1608	3894	521	730	747	3028	2489	4772
CDS:AF52_RS28150:-:hypothetical_protein:cds-WP_021441069.1:-:473:NZ_KK737551.1	62	28	64	26	26	38	6	12	23	103	43	119
CDS:AF52_RS28155:-:hypothetical_protein:cds-WP_171789277.1:-:722:NZ_KK737551.1	151	54	87	86	36	121	56	20	32	126	131	92
CDS:AF52_RS00635:-:hypothetical_protein:cds-WP_021441070.1:-:1187:NZ_KK737551.1	1350	669	1146	1074	642	1326	323	382	310	1930	1697	2935
CDS:AF52_RS00630:ppa:inorganic_diphosphatase:cds-WP_002886766.1:-:530:NZ_KK737551.1	3892	2323	3170	3812	2268	4649	1109	1643	1452	2760	2766	3995
CDS:AF52_RS00625:-:ABC_transporter_substrate-binding_protein:cds-WP_002886769.1:+:956:NZ_KK737551.1	47	27	10	20	12	8	0	0	8	30	59	46
CDS:AF52_RS00620:-:sugar_ABC_transporter_ATP-binding_protein:cds-AF52_RS00620:+:1291:NZ_KK737551.1	23	40	0	29	0	38	2	6	3	29	67	47
CDS:AF52_RS00615:-:ABC_transporter_permease:cds-WP_032430409.1:+:1025:NZ_KK737551.1	5	6	6	16	2	13	14	0	0	71	31	51
CDS:AF52_RS00610:yjfF:sugar_ABC_transporter_permease_YjfF:cds-WP_021312675.1:+:998:NZ_KK737551.1	25	32	49	15	12	58	27	4	7	59	61	117
CDS:AF52_RS00605:fbp:class_1_fructose-bisphosphatase:cds-WP_002886827.1:-:998:NZ_KK737551.1	3468	2311	2563	3981	2458	4540	1721	2679	2449	2672	2224	3117
CDS:AF52_RS00600:mpl:UDP-N-acetylmuramate:L-alanyl-gamma-D-glutamyl-meso-diaminopimelate_ligase:cds-WP_002886886.1:+:1373:NZ_KK737551.1	1381	630	1233	1400	924	1362	639	702	637	1977	1733	2735
CDS:AF52_RS00595:-:GNAT_family_N-acetyltransferase:cds-WP_004177666.1:+:527:NZ_KK737551.1	212	116	230	231	129	269	71	105	87	208	102	266
CDS:AF52_RS00590:-:aldose_1-epimerase_family_protein:cds-WP_032430410.1:-:1208:NZ_KK737551.1	128	41	197	161	57	143	16	6	24	2251	1771	3032
CDS:AF52_RS00585:-:ribosome-associated_protein:cds-WP_004177664.1:-:551:NZ_KK737551.1	787	424	706	580	324	601	100	173	176	590	457	895
CDS:AF52_RS00580:pmbA:metalloprotease_PmbA:cds-WP_004152265.1:+:1352:NZ_KK737551.1	1415	657	897	1204	835	1254	207	381	353	1637	1279	2439
CDS:AF52_RS00575:cybC:cytochrome_b562:cds-WP_021441074.1:+:386:NZ_KK737551.1	3482	1681	2834	3316	2183	3443	941	1532	1320	3906	3516	4533
CDS:AF52_RS00570:-:glycine_dehydrogenase:cds-WP_002886894.1:+:338:NZ_KK737551.1	19	29	28	8	18	40	11	25	0	179	134	165
CDS:AF52_RS00565:-:hypothetical_protein:cds-WP_002886895.1:+:362:NZ_KK737551.1	22	13	2	1	7	8	6	0	4	356	240	402
CDS:AF52_RS00560:-:DUF4312_family_protein:cds-WP_002886896.1:+:299:NZ_KK737551.1	0	10	0	3	15	15	2	0	2	216	197	239
CDS:AF52_RS00555:-:DUF4311_domain-containing_protein:cds-WP_002886897.1:+:776:NZ_KK737551.1	84	53	62	98	63	79	30	3	3	700	626	1010
CDS:AF52_RS00550:-:DUF4310_family_protein:cds-WP_004152267.1:+:644:NZ_KK737551.1	34	15	1	14	4	16	14	2	0	204	95	224
CDS:AF52_RS00545:-:amidohydrolase/deacetylase_family_metallohydrolase:cds-WP_004152268.1:+:1133:NZ_KK737551.1	30	19	17	20	0	9	15	1	0	75	71	72
CDS:AF52_RS00540:-:DgaE_family_pyridoxal_phosphate-dependent_ammonia_lyase:cds-WP_021441075.1:+:1118:NZ_KK737551.1	5	0	1	27	6	13	1	0	0	21	32	24
CDS:AF52_RS00535:-:KDGP_aldolase_family_protein:cds-WP_002886899.1:+:740:NZ_KK737551.1	18	16	33	29	1	7	13	33	2	55	30	85
CDS:AF52_RS00530:-:lactonase_family_protein:cds-WP_002886900.1:+:1154:NZ_KK737551.1	49	50	134	109	33	66	22	14	2	156	141	214
CDS:AF52_RS00525:-:BglG_family_transcription_antiterminator:cds-WP_004152270.1:+:1910:NZ_KK737551.1	213	158	212	290	159	255	43	53	60	262	277	374
CDS:AF52_RS00520:-:type_II_toxin-antitoxin_system_RelB/DinJ_family_antitoxin:cds-WP_032430412.1:+:242:NZ_KK737551.1	152	43	76	85	53	130	56	36	53	183	158	309
CDS:AF52_RS00515:-:type_II_toxin-antitoxin_system_RelE/ParE_family_toxin:cds-WP_002886902.1:+:284:NZ_KK737551.1	315	160	206	283	193	275	33	91	106	360	297	486
CDS:AF52_RS00510:nrdG:anaerobic_ribonucleoside-triphosphate_reductase-activating_protein:cds-WP_004222151.1:-:464:NZ_KK737551.1	12	0	21	22	11	0	9	12	23	20	0	4
CDS:AF52_RS00505:nrdD:anaerobic_ribonucleoside-triphosphate_reductase:cds-WP_004186701.1:-:2138:NZ_KK737551.1	35	28	30	51	31	47	192	176	242	70	111	134
CDS:AF52_RS00500:-:MurR/RpiR_family_transcriptional_regulator:cds-WP_021441079.1:-:743:NZ_KK737551.1	91	20	99	71	26	126	6	49	34	616	466	587
CDS:AF52_RS28160:-:hypothetical_protein:cds-WP_032410138.1:-:173:NZ_KK737551.1	1	0	4	1	0	10	0	2	0	23	13	27
CDS:AF52_RS00495:-:PTS_sugar_transporter_subunit_IIB:cds-WP_004178377.1:+:308:NZ_KK737551.1	7	4	27	4	11	16	10	12	11	312	270	346
CDS:AF52_RS00490:-:6-phospho-beta-glucosidase:cds-WP_021441081.1:+:1307:NZ_KK737551.1	14	0	1	6	1	18	4	1	1	347	304	366
CDS:AF52_RS00485:celB:PTS_cellobiose_transporter_subunit_IIC:cds-WP_004146783.1:+:1352:NZ_KK737551.1	50	18	47	81	32	37	3	24	6	173	162	251
CDS:AF52_RS00480:treC:alpha%2Calpha-phosphotrehalase:cds-WP_004178379.1:-:1655:NZ_KK737551.1	1047	628	951	919	416	1238	54	98	66	333	233	420
CDS:AF52_RS00475:treB:PTS_trehalose_transporter_subunit_IIBC:cds-WP_021441082.1:-:1418:NZ_KK737551.1	1196	658	809	1071	485	1288	55	61	104	4016	3829	5588
CDS:AF52_RS00470:treR:HTH-type_transcriptional_regulator_TreR:cds-WP_004177658.1:-:947:NZ_KK737551.1	387	164	275	370	148	353	38	64	42	212	286	415
CDS:AF52_RS00465:mgtA:magnesium-translocating_P-type_ATPase:cds-WP_009309303.1:+:2708:NZ_KK737551.1	586	225	366	783	488	924	619	757	944	9066	7754	12559
CDS:AF52_RS00460:ridA:2-iminobutanoate/2-iminopropanoate_deaminase:cds-WP_002886926.1:-:386:NZ_KK737551.1	1339	718	1055	1272	615	2066	421	958	1077	1906	1458	2612
CDS:AF52_RS00455:pyrI:aspartate_carbamoyltransferase_regulatory_subunit:cds-WP_002886927.1:-:461:NZ_KK737551.1	198	92	148	200	78	191	5	15	18	47	79	48
CDS:AF52_RS00450:pyrB:aspartate_carbamoyltransferase:cds-WP_002886928.1:-:935:NZ_KK737551.1	326	242	275	253	204	380	23	1	11	55	53	59
CDS:AF52_RS26210:-:pyrBI_operon_leader_peptide:cds-WP_002886930.1:-:104:NZ_KK737551.1	677	563	1029	490	609	963	139	72	125	893	880	1161
CDS:AF52_RS00445:-:YhcH/YjgK/YiaL_family_protein:cds-WP_002886939.1:+:452:NZ_KK737551.1	45	4	8	53	23	30	6	9	13	116	33	135
CDS:AF52_RS00440:-:SIS_domain-containing_protein:cds-WP_002886940.1:+:974:NZ_KK737551.1	24	45	16	18	1	7	0	9	4	103	91	186
CDS:AF52_RS00435:-:ribokinase:cds-WP_002886941.1:+:830:NZ_KK737551.1	128	80	64	74	20	158	29	10	14	240	335	346
CDS:AF52_RS00430:-:amidohydrolase_family_protein:cds-WP_021441084.1:+:1565:NZ_KK737551.1	37	41	77	72	18	53	0	0	8	118	66	150
CDS:AF52_RS00425:yfcC:putative_basic_amino_acid_antiporter_YfcC:cds-WP_004152274.1:+:1418:NZ_KK737551.1	84	97	71	40	44	82	11	0	13	191	139	175
CDS:AF52_RS00420:-:GntR_family_transcriptional_regulator:cds-WP_002886945.1:+:725:NZ_KK737551.1	370	145	221	215	113	213	41	51	98	372	262	350
CDS:AF52_RS00415:argF:ornithine_carbamoyltransferase:cds-WP_002886946.1:-:1004:NZ_KK737551.1	36	13	44	41	16	19	0	0	14	63	31	77
CDS:AF52_RS00410:rraB:ribonuclease_E_inhibitor_RraB:cds-WP_002886947.1:+:422:NZ_KK737551.1	449	396	435	376	258	440	509	711	659	489	362	658
CDS:AF52_RS00405:-:tRNA-ms[2]io[6]A-hydroxylase:cds-WP_004186726.1:+:764:NZ_KK737551.1	591	345	460	380	243	485	354	582	494	578	404	911
CDS:AF52_RS00400:-:GNAT_family_N-acetyltransferase:cds-WP_004152275.1:-:503:NZ_KK737551.1	701	525	710	518	385	769	199	261	155	674	505	707
CDS:AF52_RS00395:-:valine--tRNA_ligase:cds-WP_032430414.1:-:2855:NZ_KK737551.1	6287	3558	5237	5509	3344	6400	2337	3080	2977	3035	2458	4481
CDS:AF52_RS00390:holC:DNA_polymerase_III_subunit_chi:cds-WP_002886953.1:-:443:NZ_KK737551.1	743	411	635	683	351	945	252	423	369	611	557	772
CDS:AF52_RS00385:pepA:leucyl_aminopeptidase:cds-WP_002886954.1:-:1511:NZ_KK737551.1	2995	1777	2509	2868	1739	3414	2136	2670	2640	2381	1783	3283
CDS:AF52_RS00380:lptF:LPS_export_ABC_transporter_permease_LptF:cds-WP_002886955.1:+:1097:NZ_KK737551.1	1760	1159	1361	1590	986	1724	773	979	583	1393	1323	1974
CDS:AF52_RS00375:lptG:LPS_export_ABC_transporter_permease_LptG:cds-WP_002886956.1:+:1082:NZ_KK737551.1	1979	976	1537	2092	1207	2385	731	1091	955	836	701	971
CDS:AF52_RS00370:-:DUF853_domain-containing_protein:cds-WP_002886957.1:-:1502:NZ_KK737551.1	275	164	280	287	141	264	69	106	121	573	628	758
CDS:AF52_RS00365:-:TIM_barrel_protein:cds-WP_032430415.1:-:821:NZ_KK737551.1	0	3	1	1	10	0	0	0	0	211	113	173
CDS:AF52_RS00360:-:CoA-acylating_methylmalonate-semialdehyde_dehydrogenase:cds-WP_004177655.1:+:1505:NZ_KK737551.1	46	65	36	43	43	68	8	22	2	1496	1369	2105
CDS:AF52_RS00355:iolB:5-deoxy-glucuronate_isomerase:cds-WP_004186731.1:+:809:NZ_KK737551.1	58	15	72	73	31	66	17	1	7	931	700	1148
CDS:AF52_RS00350:-:MurR/RpiR_family_transcriptional_regulator:cds-WP_004152190.1:-:857:NZ_KK737551.1	305	116	191	202	109	216	63	118	103	645	459	861
CDS:AF52_RS00345:iolC:5-dehydro-2-deoxygluconokinase:cds-WP_004146797.1:-:1913:NZ_KK737551.1	126	41	40	66	48	76	1	20	7	616	427	900
CDS:AF52_RS00340:iolD:3D-3%2C5/4-trihydroxycyclohexane-1%2C2-dione_acylhydrolase_decyclizing:cds-WP_004186736.1:+:1940:NZ_KK737551.1	188	56	131	90	61	89	14	11	8	1761	1304	2315
CDS:AF52_RS00335:-:Gfo/Idh/MocA_family_oxidoreductase:cds-WP_004186740.1:+:1013:NZ_KK737551.1	47	32	103	46	7	42	1	0	0	161	161	261
CDS:AF52_RS00330:-:sugar_phosphate_isomerase/epimerase:cds-WP_021314296.1:+:884:NZ_KK737551.1	80	42	35	15	20	54	12	10	9	36	128	90
CDS:AF52_RS00325:iolE:myo-inosose-2_dehydratase:cds-WP_002886970.1:+:899:NZ_KK737551.1	116	84	106	79	48	71	22	14	12	146	77	179
CDS:AF52_RS00320:-:ABC_transporter_substrate-binding_protein:cds-WP_021441086.1:-:1310:NZ_KK737551.1	7	29	31	44	21	55	4	5	6	25	90	31
CDS:AF52_RS00315:-:ABC_transporter_ATP-binding_protein:cds-WP_021441087.1:-:1070:NZ_KK737551.1	20	0	0	5	13	5	0	7	15	4	0	10
